"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Crea un tipo de habitación desde el WebAdmin y valida el flujo completo:
1. Navegación Menú -> Hoteles -> Tipos de habitación.
2. Click en Nuevo.
3. Carga del nombre (dinámico con fecha/hora) y el detalle.
4. Dejar tildado Publicado.
5. Guardado.
6. Validación de que el tipo recién creado aparece en la tabla.
","46278","test_crear_tipo_de_habitacion","webadmin","2026-06-10","broken","2026-06-10","","crear_tipos_de_habitacion","",""
"
Este caso de prueba valida el acceso principal al sistema web de reservas con perfil Agencia.
1. Navegación a preprod.amv.travel.
2. Inyección de credenciales seguras mediante GitHub Secrets.
3. Validación de ingreso exitoso al portal interno.
4. Validación de perfil Agencia comprobando la NO existencia de los selectores de simulación de agencia.
","6859","test_login_agencia","web.inicio","2026-06-10","passed","2026-06-10","","login_agencia","",""
"
Crea una habitación desde el WebAdmin y valida el flujo completo:
1. Navegación Menú → Hoteles → Adm. de Habitaciones → Nuevo.
2. Carga de datos (nombre, hotel, capacidad, tipo, checkboxes).
3. Guardado y validación de la URL de detalle (id dinámico).
4. Validación de que las pestañas del detalle quedan habilitadas.
5. Búsqueda de la habitación recién creada en la tabla.
","46380","test_crear_habitacion","webadmin","2026-06-10","broken","2026-06-10","","crear_habitacion","",""
"
Crea una amenitie desde el WebAdmin y valida el flujo completo:
1. Navegacion Menu -> Hoteles -> Amenities.
2. Click en Nuevo.
3. Carga del nombre (dinamico con fecha/hora) y las 4 traducciones (ES/EN/PT/IT).
4. Guardado.
5. Validacion de que la amenitie recien creada aparece en la tabla.
","6213","test_crear_amenitie","webadmin","2026-06-10","passed","2026-06-10","","crear_amenities","",""
"
Este caso de prueba cubre el flujo End-to-End de un paquete Multidestino:
1. Búsqueda de 'Triángulo Argentino'.
2. Selección de fechas, pasajeros y distribución de habitaciones.
3. Personalización del itinerario (Quitar y Agregar servicios opcionales).
4. Cambio de idioma de un servicio y validación de recargo en el precio.
5. Carga de datos de vuelo, pasajeros y confirmación de la reserva.
6. Validación en tabla de reservas.
","55930","test_reserva_multidestino","web.multidestino","2026-06-10","passed","2026-06-10","","multidestino","",""
"
Crea un tipo de desayuno desde el WebAdmin y valida el flujo completo:
1. Navegación Menú -> Hoteles -> Desayuno.
2. Click en Nuevo.
3. Carga del nombre (dinámico con fecha/hora) y las 4 traducciones (ES/EN/PT/IT).
4. Dejar tildado Publicado.
5. Guardado.
6. Validación de que el desayuno recién creado aparece en la tabla.
","46201","test_crear_desayuno","webadmin","2026-06-10","broken","2026-06-10","","crear_desayuno","",""
"
Este caso de prueba cubre el flujo de Tarifario - Cruceros:
1. Login y navegación a Cruceros.
2. Búsqueda con destino Ushuaia.
3. Validación de ciclo de vida del botón Ver/Cerrar Tarifario.
4. Validación de la tabla de tarifas.
5. Validación de modales (Proveedores y Detalle).
","45041","test_tarifario_cruceros","web.tarifario","2026-06-10","failed","2026-06-10","","cruceros","",""
"","9085","test_login_admin","web.inicio","2026-06-10","passed","2026-06-10","","login_admin","",""
"","15642","test_crear_orden_cobro","bo","2026-06-10","passed","2026-06-10","","crear_oc","",""
"
Este test valida la navegación y la estructura de la tabla de reservas en el BO:
1. Login administrativo (fixture login_bo).
2. Navegación mediante el menú lateral 'Reservas'.
3. Acceso a la Bandeja de Entrada (Inbox).
4. Validación estructural de los contenedores de la tabla.
","2245","test_validar_tabla_reservas_inbox","bo","2026-06-10","passed","2026-06-10","","reservas","",""
"
Crea un salón (meeting salon) desde el WebAdmin y valida el flujo completo:
1. Navegación Menú -> Hoteles -> Salones -> Nuevo.
2. Selección de Ciudad (dispara postback que recarga los Hoteles).
3. Carga de nombre dinámico, capacidad (200) y orden.
4. Selección del Hotel dependiente de la ciudad.
5. Dejar tildado Publicado y Guardar.
6. Validación de que el salón recién creado aparece en la tabla.
","9640","test_crear_salon","webadmin","2026-06-10","passed","2026-06-10","","crear_salon","",""
"
Este caso de prueba cubre el flujo completo de Tarifario - Traslados:
1. Navegación y búsqueda con destino Buenos Aires.
2. Validación de estados del botón Ver/Cerrar Tarifario con capturas.
3. Validación de modal Proveedores (usando selector btn-download-word).
4. Validación de modal Detalle (idéntico a Hoteles).
5. Validación de Tooltips al final del flujo.
","27190","test_tarifario_traslados","web.tarifario","2026-06-10","passed","2026-06-10","","traslados","",""
"
Este test valida el flujo de creación de un File a partir de un registro en el Inbox del BO:
1. Login administrativo.
2. Navegación a la Bandeja de Entrada (Inbox) de Reservas.
3. Selección del primer registro pendiente.
4. Asignación de País (Argentina) y Nombre de Grupo.
5. Guardado y validación de persistencia de datos.
6. Validación de carga de tablas de Destinos y Totales.
","9508","test_generar_file_desde_inbox","bo","2026-06-10","passed","2026-06-10","","generar_file","",""
